Timestamp,Longitude,Latitude,Operatorname,NetworkTech,Level,Speed,Altitude,Filemark
2025.04.02_18.50.25,77.89912,29.863395,JIO4G,4G,-98,3,225,
2025.04.02_18.50.32,77.899201,29.863338,JIO4G,4G,-100,4,226,
2025.04.02_18.50.50,77.899201,29.863338,JIO4G,2G,-113,0,226,
2025.04.02_18.50.52,77.899201,29.863338,JIO4G,4G,-97,0,226,
2025.04.02_18.50.54,77.89934,29.863338,JIO4G,4G,-94,0,222,
2025.04.02_18.51.16,77.899221,29.863338,JIO4G,4G,-97,0,227,
2025.04.02_18.51.21,77.899089,29.863343,JIO4G,4G,-95,3,229,
2025.04.02_18.51.27,77.898976,29.863323,JIO4G,4G,-90,3,227,
2025.04.02_18.51.33,77.898858,29.863353,JIO4G,4G,-92,4,232,
2025.04.02_18.51.44,77.898758,29.863381,JIO4G,4G,-85,4,226,
2025.04.02_18.51.52,77.898651,29.863391,JIO4G,4G,-82,4,220,
2025.04.02_18.51.58,77.898546,29.86341,JIO4G,4G,-71,4,217,
2025.04.02_18.52.09,77.898503,29.863314,JIO4G,4G,-63,3,220,
2025.04.02_18.52.16,77.898485,29.863225,JIO4G,4G,-65,3,225,
2025.04.02_18.52.26,77.89848,29.863126,JIO4G,4G,-78,4,222,
2025.04.02_18.52.34,77.898443,29.863016,JIO4G,4G,-88,4,227,
2025.04.02_18.52.39,77.898358,29.862935,JIO4G,4G,-83,4,233,
2025.04.02_18.52.48,77.898255,29.862958,JIO4G,4G,-77,4,230,
2025.04.02_18.52.55,77.898141,29.862985,JIO4G,4G,-76,3,233,
2025.04.02_18.53.07,77.89803,29.86297,JIO4G,4G,-80,4,231,
2025.04.02_18.53.10,77.89803,29.86297,JIO4G,4G,-80,4,231,
2025.04.02_18.53.12,77.89803,29.86297,JIO4G,4G,-76,4,231,
2025.04.02_18.53.17,77.89792,29.862986,JIO4G,4G,-79,3,224,
2025.04.02_18.53.21,77.897875,29.863076,JIO4G,4G,-80,3,228,
2025.04.02_18.53.29,77.89782,29.863158,JIO4G,4G,-80,3,229,
2025.04.02_18.53.37,77.897873,29.863255,JIO4G,4G,-87,2,229,
2025.04.02_18.53.46,77.897888,29.863346,JIO4G,4G,-87,3,229,
2025.04.02_18.54.12,77.897961,29.863271,JIO4G,4G,-81,3,234,
2025.04.02_18.54.21,77.897913,29.863191,JIO4G,4G,-81,4,233,
2025.04.02_18.54.29,77.897925,29.863101,JIO4G,4G,-76,3,234,
2025.04.02_18.54.37,77.897918,29.863001,JIO4G,4G,-80,4,233,
2025.04.02_18.54.48,77.89789,29.862908,JIO4G,4G,-74,3,234,
2025.04.02_18.54.54,77.897888,29.862803,JIO4G,4G,-74,4,237,
2025.04.02_18.55.00,77.897876,29.862701,JIO4G,4G,-75,4,240,
2025.04.02_18.55.07,77.897863,29.862611,JIO4G,4G,-74,3,246,
2025.04.02_18.55.11,77.897863,29.862611,JIO4G,2G,-113,3,246,
2025.04.02_18.55.13,77.897975,29.862605,JIO4G,2G,-113,3,252,
